Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-04-20,34.48,34.48,31.855,32.544,310176
1999-04-21,32.478,32.617,32.13,32.269,232414
1999-04-22,32.478,34.48,32.478,33.929,225231
1999-04-23,34.138,35.24,33.929,34.342,237958
1999-04-26,34.204,34.415,33.863,33.863,130709
1999-04-27,33.515,33.515,32.828,33.03,122750
1999-04-28,32.828,32.828,31.789,31.928,73888
1999-04-29,31.717,32.341,31.442,31.789,90909
1999-04-30,31.717,32.269,31.717,32.064,74230
1999-05-04,32.617,32.828,32.064,32.405,25322
1999-05-05,32.203,32.203,31.579,31.789,73179
1999-05-06,31.789,31.789,31.442,31.442,94300
1999-05-07,31.442,31.789,31.093,31.37,101350
1999-05-10,31.166,31.166,30.404,30.753,31273
1999-05-11,30.267,30.267,29.643,29.991,136436
1999-05-12,30.057,30.129,29.505,29.716,87591
1999-05-13,29.782,30.404,29.782,30.404,43289
1999-05-14,31.093,31.093,29.991,30.129,38906
1999-05-17,29.918,29.991,29.643,29.854,97871
1999-05-18,30.267,30.404,29.854,30.195,24520
1999-05-19,30.195,30.195,29.918,30.129,51783
1999-05-20,30.129,30.34,30.057,30.057,98063
1999-05-21,30.477,31.166,30.477,30.956,82408
1999-05-24,31.166,31.166,30.68,30.89,39812
1999-05-25,30.34,30.542,30.057,30.404,50781
1999-05-26,30.404,30.615,30.267,30.404,32357
1999-05-27,30.34,30.34,30.057,30.057,27088
1999-05-28,29.782,30.057,29.782,29.991,26747
1999-05-31,29.782,29.854,29.643,29.782,16208
1999-06-01,30.057,30.68,30.057,30.195,31195
1999-06-02,30.404,30.89,30.404,30.542,20450
1999-06-07,30.956,31.442,30.956,31.442,33671
1999-06-08,31.514,31.514,31.231,31.304,53601
1999-06-09,31.304,32.617,31.304,32.405,78621
1999-06-10,32.203,32.689,31.992,31.992,43161
1999-06-11,32.478,32.689,32.13,32.617,48835
1999-06-14,32.478,32.478,31.928,32.13,18624
1999-06-15,31.928,32.203,31.928,32.064,20778
1999-06-16,31.928,31.928,31.789,31.789,17074
1999-06-17,32.269,32.755,31.992,31.992,23152
1999-06-18,32.478,32.478,31.928,31.928,23951
1999-06-21,32.405,32.405,31.992,32.13,25785
1999-06-22,32.405,33.515,32.405,33.167,151311
1999-06-23,32.828,33.167,32.755,32.964,50554
1999-06-24,33.167,33.167,32.828,33.03,43662
1999-06-25,32.828,32.828,32.064,32.341,22738
1999-06-28,32.341,32.341,31.37,32.269,27365
1999-06-29,32.13,32.13,31.093,31.579,7673
1999-06-30,31.855,31.855,31.166,31.304,11187
1999-07-01,31.717,32.478,31.514,32.064,9411
1999-07-02,33.377,33.515,32.544,32.617,73287
1999-07-05,32.478,32.478,32.269,32.341,11864
1999-07-06,32.478,32.544,32.341,32.405,22330
