Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-09-08,46.773,46.773,46.773,46.773,176665
1997-09-09,48.233,48.233,48.233,48.233,106483
1997-09-10,49.694,49.694,49.694,49.694,51997
1997-09-11,48.601,48.601,48.601,48.601,71781
1997-09-12,47.869,47.869,47.869,47.869,45829
1997-09-15,47.869,47.869,47.869,47.869,173021
1997-09-16,50.061,50.061,50.061,50.061,43633
1997-09-17,50.061,50.061,50.061,50.061,60413
1997-09-18,50.427,50.427,50.427,50.427,61347
1997-09-19,50.427,50.427,50.427,50.427,194860
1997-09-22,51.158,51.158,51.158,51.158,48586
1997-09-23,51.158,51.158,51.158,51.158,18424
1997-09-24,49.694,49.694,49.694,49.694,15402
1997-09-25,49.694,49.694,49.694,49.694,50606
1997-09-26,50.061,50.061,50.061,50.061,114006
1997-09-29,49.694,49.694,49.694,49.694,10442
1997-09-30,50.427,50.427,50.427,50.427,38842
1997-10-01,50.427,50.427,50.427,50.427,26690
1997-10-02,51.158,51.158,51.158,51.158,13128
1997-10-03,48.601,48.601,48.601,48.601,7172
1997-10-06,48.964,48.964,48.964,48.964,36363
1997-10-07,49.694,49.694,49.694,49.694,37547
1997-10-08,50.791,50.791,50.791,50.791,32680
1997-10-09,51.158,51.158,51.158,51.158,63631
1997-10-10,51.522,51.522,51.522,51.522,68697
1997-10-13,52.984,52.984,52.984,52.984,38108
1997-10-14,55.542,55.542,55.542,55.542,41407
1997-10-15,56.274,56.274,56.274,56.274,36284
1997-10-16,56.274,56.274,56.274,56.274,84320
1997-10-17,55.177,55.177,55.177,55.177,27491
1997-10-20,55.542,55.542,55.542,55.542,87359
1997-10-21,55.542,55.542,55.542,55.542,69214
1997-10-22,56.274,56.274,56.274,56.274,32315
1997-10-23,55.542,55.542,55.542,55.542,11674
1997-10-24,53.349,53.349,53.349,53.349,16094
1997-10-27,50.791,50.791,50.791,50.791,17262
1997-10-28,46.043,46.043,46.043,46.043
1997-10-29,50.427,50.427,50.427,50.427,64567
1997-10-30,48.964,48.964,48.964,48.964,59806
1997-10-31,47.869,47.869,47.869,47.869,14771
1997-11-03,49.33,49.33,49.33,49.33,6800
1997-11-04,50.427,50.427,50.427,50.427,23180
1997-11-05,51.158,51.158,51.158,51.158,13190
1997-11-06,50.061,50.061,50.061,50.061,10678
1997-11-07,50.427,50.427,50.427,50.427,30644
1997-11-12,49.694,49.694,49.694,49.694,93060
1997-11-13,48.964,48.964,48.964,48.964,26441
1997-11-14,48.233,48.233,48.233,48.233,21341
1997-11-17,49.33,49.33,49.33,49.33,25441
1997-11-18,50.061,50.061,50.061,50.061,33346
1997-11-19,49.694,49.694,49.694,49.694,70785
1997-11-20,49.694,49.694,49.694,49.694,33219
1997-11-21,49.33,49.33,49.33,49.33,32117
1997-11-24,48.233,48.233,48.233,48.233,12003
1997-11-25,46.773,46.773,46.773,46.773,18249
1997-11-26,47.136,47.136,47.136,47.136,7724
1997-11-27,46.043,46.043,46.043,46.043,7136
1997-11-28,45.311,45.311,45.311,45.311,6019
1997-12-01,46.406,46.406,46.406,46.406,3106
1997-12-02,46.406,46.406,46.406,46.406,49932
1997-12-03,46.406,46.406,46.406,46.406,12642
1997-12-04,44.947,44.947,44.947,44.947,29732
1997-12-05,46.043,46.043,46.043,46.043,22952
1997-12-08,45.676,45.676,45.676,45.676,25890
1997-12-09,45.311,45.311,45.311,45.311,22683
1997-12-10,44.947,44.947,44.947,44.947,4534
1997-12-11,44.214,44.214,44.214,44.214,34902
1997-12-12,44.214,44.214,44.214,44.214,14102
1997-12-15,45.311,45.311,45.311,45.311,19508
1997-12-16,45.676,45.676,45.676,45.676,29717
1997-12-17,44.947,44.947,44.947,44.947,41015
1997-12-18,44.947,44.947,44.947,44.947,48575
1997-12-19,43.485,43.485,43.485,43.485,35975
1997-12-22,41.658,41.658,41.658,41.658,8210
1997-12-23,41.658,41.658,41.658,41.658,11360
1997-12-29,40.927,40.927,40.927,40.927,3525
1997-12-30,42.022,42.022,42.022,42.022,35211
1997-12-31,43.848,43.848,43.848,43.848,4003
1998-01-05,46.043,46.043,46.043,46.043,10797
1998-01-06,46.043,46.043,46.043,46.043,28560
1998-01-07,46.043,46.043,46.043,46.043,35447
1998-01-08,45.676,45.676,45.676,45.676,36484
1998-01-09,44.578,44.578,44.578,44.578,2327
1998-01-12,41.291,41.291,41.291,41.291,11328
1998-01-13,43.118,43.118,43.118,43.118,7763
1998-01-14,42.751,42.751,42.751,42.751,16718
1998-01-15,42.388,42.388,42.388,42.388,3152
1998-01-16,42.388,42.751,41.658,41.658,17168
1998-01-19,42.022,42.022,41.658,41.658,6667
1998-01-20,42.751,42.751,41.658,41.658,14246
1998-01-21,41.658,41.658,41.658,41.658,3115
1998-01-22,40.927,41.291,40.927,41.291,3978
1998-01-23,40.194,41.658,40.194,41.658,11991
1998-01-26,42.022,42.022,40.56,40.56,3078
1998-01-27,42.022,42.022,42.022,42.022,4457
1998-01-28,42.388,43.848,42.388,43.848,12621
1998-01-29,42.022,43.118,41.658,42.388,9297
1998-01-30,42.751,42.751,42.751,42.751,13310
1998-02-02,43.848,45.676,43.848,45.311,7365
1998-02-03,46.043,46.043,45.311,45.311,25180
1998-02-04,46.043,46.043,45.311,45.311,15842
1998-02-05,45.311,47.136,45.311,47.136,3282
1998-02-06,47.136,48.964,47.136,48.233,40773
1998-02-09,48.601,48.964,48.601,48.964,7609
1998-02-10,48.601,48.964,48.601,48.601,20986
1998-02-11,48.964,49.33,48.601,48.601,10985
1998-02-12,48.964,48.964,46.773,46.773,6388
1998-02-13,47.136,47.136,47.136,47.136,9008
1998-02-16,47.503,47.503,47.136,47.136,4062
1998-02-17,47.503,47.503,47.503,47.503,9283
1998-02-18,47.136,47.503,47.136,47.503,10563
1998-02-19,47.869,48.601,47.503,48.601,17641
1998-02-20,47.136,47.136,42.751,46.043,16061
1998-02-23,44.578,46.043,44.578,46.043,32622
1998-02-24,43.848,43.848,42.751,42.751,23396
1998-02-25,44.578,44.578,43.848,43.848,27791
1998-02-26,45.311,45.311,44.214,44.214,28697
1998-02-27,45.676,45.676,44.947,45.311,27413
1998-03-02,46.043,47.869,45.676,47.136,42630
1998-03-03,46.043,46.043,44.578,44.578,39192
1998-03-04,45.311,45.311,43.848,43.848,20789
1998-03-05,45.311,45.311,44.947,44.947,37009
1998-03-06,44.578,45.676,44.578,45.311,30122
1998-03-09,46.043,47.869,46.043,47.136,27679
1998-03-10,46.773,49.694,46.773,49.33,43174
1998-03-11,51.158,51.889,49.694,50.791,82260
1998-03-12,50.791,52.618,50.791,52.618,46600
1998-03-13,54.08,54.08,52.618,53.349,50953
1998-03-16,54.08,54.08,52.618,52.984,34488
1998-03-17,54.08,54.08,51.158,51.158,16024
1998-03-18,52.984,52.984,51.889,52.252,27923
1998-03-19,51.889,51.889,50.427,50.427,13124
1998-03-20,51.158,51.158,50.061,50.427,38865
1998-03-23,50.061,50.061,48.964,48.964,9781
1998-03-24,48.964,48.964,48.233,48.233,20974
1998-03-25,48.233,48.964,48.233,48.233,24961
1998-03-26,47.869,47.869,47.136,47.503,24569
1998-03-27,47.136,47.136,46.406,46.773,19187
1998-03-30,46.773,46.773,46.773,46.773,19482
1998-03-31,47.136,47.503,47.136,47.136,25121
1998-04-01,48.233,48.233,47.503,47.503,16401
1998-04-02,47.136,47.503,47.136,47.503,4627
1998-04-06,47.503,47.869,46.773,47.869,20824
1998-04-07,47.503,47.503,46.406,46.406,10108
1998-04-08,47.136,47.136,46.043,46.043,9917
1998-04-09,45.311,45.676,45.311,45.676,10436
1998-04-14,45.311,45.676,45.311,45.676,5563
1998-04-15,45.311,45.311,44.578,45.311,9465
1998-04-16,44.947,46.773,44.578,44.578,3246
1998-04-17,48.233,48.233,45.676,45.676,8910
1998-04-20,45.311,45.311,44.578,44.947,12210
