Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-06-05,75,75,75,75,21907
1997-06-06,70,70,70,70,12350
1997-06-09,72,72,72,72,9049
1997-06-10,70,70,70,70,3006
1997-06-11,72,72,72,72,8215
1997-06-12,79,79,79,79,17506
1997-06-13,79,79,79,79,7368
1997-06-16,77,77,77,77,3631
1997-06-17,74,74,74,74,7526
1997-06-18,70,70,70,70,9164
1997-06-19,70,70,70,70,5736
1997-06-20,72,72,72,72,2688
1997-06-23,65,65,65,65,6508
1997-06-24,64.5,64.5,64.5,64.5,8333
1997-06-25,65,65,65,65,2915
1997-06-26,62,62,62,62,2730
1997-06-27,62,62,62,62,3282
1997-06-30,63,63,63,63,4852
1997-07-01,62,62,62,62,3078
1997-07-02,62,62,62,62,2175
1997-07-03,61,61,61,61,3735
1997-07-04,65,65,65,65,1523
1997-07-07,67,67,67,67,4515
1997-07-08,67,67,67,67,2112
1997-07-09,70,70,70,70,2857
1997-07-10,72,72,72,72,3181
1997-07-11,68.5,68.5,68.5,68.5,1314
1997-07-14,62,62,62,62,6944
1997-07-15,63,63,63,63,3079
1997-07-16,64.5,64.5,64.5,64.5,4543
1997-07-17,63,63,63,63,3784
1997-07-18,65,65,65,65,3569
1997-07-21,62.5,62.5,62.5,62.5,2048
1997-07-22,63.5,63.5,63.5,63.5,1819
1997-07-23,63.5,63.5,63.5,63.5,1213
1997-07-24,62,62,62,62,1903
1997-07-25,61,61,61,61,2172
1997-07-28,59,59,59,59,2263
1997-07-29,61,61,61,61,2713
1997-07-30,63,63,63,63,6087
1997-07-31,63.5,63.5,63.5,63.5,2205
1997-08-01,62.5,62.5,62.5,62.5,720
1997-08-04,63.5,63.5,63.5,63.5,1551
1997-08-05,62,62,62,62,782
1997-08-06,63.5,63.5,63.5,63.5,2441
1997-08-07,63.5,63.5,63.5,63.5,2551
1997-08-08,65,65,65,65,4885
1997-08-11,65,65,65,65,3146
1997-08-12,64,64,64,64,2680
1997-08-13,64,64,64,64,3141
1997-08-14,63,63,63,63,1532
1997-08-18,59,59,59,59,2322
1997-08-19,60,60,60,60,2108
1997-08-20,62,62,62,62,1734
1997-08-21,62.5,62.5,62.5,62.5,1504
1997-08-22,61,61,61,61,1934
1997-08-25,62,62,62,62,4146
1997-08-26,62,62,62,62,9439
1997-08-27,63.5,63.5,63.5,63.5,6343
1997-08-28,65,65,65,65,10638
1997-08-29,68.5,68.5,68.5,68.5,8034
1997-09-01,66,66,66,66,6720
1997-09-02,65,65,65,65,4172
1997-09-03,66,66,66,66,10578
1997-09-04,68,68,68,68,14419
1997-09-05,67,67,67,67,4246
1997-09-08,69,69,69,69,10498
1997-09-09,70,70,70,70,7496
1997-09-10,70,70,70,70,15365
1997-09-11,69,69,69,69,10746
1997-09-12,69,69,69,69,1788
1997-09-15,68,68,68,68,20040
1997-09-16,69,69,69,69,4799
1997-09-17,67,67,67,67,2286
1997-09-18,67,67,67,67,4846
1997-09-19,67,67,67,67,4624
1997-09-22,68,68,68,68,2639
1997-09-23,67.5,67.5,67.5,67.5,764
1997-09-24,65.5,65.5,65.5,65.5,1756
1997-09-25,65,65,65,65,775
1997-09-26,63.5,63.5,63.5,63.5,2189
1997-09-29,63,63,63,63,1014
1997-09-30,63,63,63,63,1955
1997-10-01,62.5,62.5,62.5,62.5,1936
1997-10-02,63,63,63,63,617
1997-10-03,61,61,61,61,3261
1997-10-06,60.5,60.5,60.5,60.5,2652
1997-10-07,61,61,61,61,3415
1997-10-08,63,63,63,63,2844
1997-10-09,62,62,62,62,3049
1997-10-10,61,61,61,61,1018
1997-10-13,63.5,63.5,63.5,63.5,2954
1997-10-14,63.5,63.5,63.5,63.5,1990
1997-10-15,62,62,62,62,5384
1997-10-16,62,62,62,62,5189
1997-10-17,61,61,61,61,3497
1997-10-20,64.5,64.5,64.5,64.5,2148
1997-10-21,64.5,64.5,64.5,64.5,2846
1997-10-22,63.5,63.5,63.5,63.5,1394
1997-10-23,63,63,63,63,1868
1997-10-24,61.5,61.5,61.5,61.5,4402
1997-10-27,60,60,60,60,3309
1997-10-28,54,54,54,54
1997-10-29,56.5,56.5,56.5,56.5,4188
1997-10-30,54.5,54.5,54.5,54.5,2009
1997-10-31,52,52,52,52,1976
1997-11-03,55,55,55,55,3106
1997-11-04,55,55,55,55,2762
1997-11-05,56,56,56,56,2219
1997-11-06,54,54,54,54,9302
1997-11-07,53,53,53,53,1664
1997-11-12,52,52,52,52,1100
1997-11-13,50.5,50.5,50.5,50.5,1899
1997-11-14,51.5,51.5,51.5,51.5,1198
1997-11-17,54.5,54.5,54.5,54.5,1467
1997-11-18,55,55,55,55,2039
1997-11-19,51,51,51,51,594
1997-11-20,52,52,52,52,208
1997-11-21,54.5,54.5,54.5,54.5,1596
1997-11-24,52,52,52,52,1566
1997-11-25,54,54,54,54,3068
1997-11-26,55,55,55,55,1702
1997-11-27,54.5,54.5,54.5,54.5,637
1997-11-28,54,54,54,54,354
1997-12-01,56,56,56,56,2368
1997-12-02,58,58,58,58,2254
1997-12-03,56.5,56.5,56.5,56.5,3084
1997-12-04,56,56,56,56,855
1997-12-05,56,56,56,56,1631
1997-12-08,55,55,55,55,653
1997-12-09,54,54,54,54,765
1997-12-10,53,53,53,53,1126
1997-12-11,50,50,50,50,1382
1997-12-12,49,49,49,49,2240
1997-12-15,50,50,50,50,2210
1997-12-16,50,50,50,50,1849
1997-12-17,48,48,48,48,3188
1997-12-18,49,49,49,49,442
1997-12-19,46,46,46,46,6105
1997-12-22,45.5,45.5,45.5,45.5,2065
1997-12-23,46.5,46.5,46.5,46.5,2023
1997-12-29,48,48,48,48,3377
1997-12-30,50,50,50,50,2825
1997-12-31,51,51,51,51,11483
1998-01-05,50,50,50,50,1810
1998-01-06,49,49,49,49,1999
1998-01-07,46,46,46,46,3734
1998-01-08,46.5,46.5,46.5,46.5,1871
1998-01-09,45.5,45.5,45.5,45.5,2280
1998-01-12,42,42,42,42,2012
1998-01-13,43,43,43,43,2084
1998-01-14,41,41,41,41,2152
1998-01-15,42,42,42,42,2616
1998-01-16,40,40,40,40,1302
1998-01-19,42,42,42,42,6453
1998-01-20,41.5,41.5,41.5,41.5,588
1998-01-21,41.5,41.5,41.5,41.5,462
1998-01-22,40,40,40,40,5295
1998-01-23,40.5,40.5,40.5,40.5,6216
1998-01-26,41.5,41.5,41.5,41.5,3561
1998-01-27,41.5,41.5,41.5,41.5,2617
1998-01-28,43,43,43,43,3807
1998-01-29,43.5,43.5,43.5,43.5,4088
1998-01-30,43,43,43,43,2624
1998-02-02,44.5,44.5,44.5,44.5,3371
1998-02-03,46,46,46,46,7020
1998-02-04,45,45,45,45,727
1998-02-05,44,44,44,44,1185
1998-02-06,44.5,44.5,44.5,44.5,5521
1998-02-09,46,46,46,46,4284
1998-02-10,47,47,47,47,5558
1998-02-11,47,47,47,47,5028
1998-02-12,47,47,47,47,1825
1998-02-13,46,46,46,46,4801
1998-02-16,46,46,46,46,695
1998-02-17,46,46,46,46,5946
1998-02-18,47,47,47,47,1320
1998-02-19,48.5,48.5,48.5,48.5,4879
1998-02-20,48.5,48.5,48.5,48.5,3154
1998-02-23,48.5,48.5,48.5,48.5,3033
1998-02-24,48.5,48.5,48.5,48.5,1221
1998-02-25,48,48,48,48,1913
1998-02-26,48.5,48.5,48.5,48.5,1780
1998-02-27,48,48,48,48,794
1998-03-02,46.5,46.5,46.5,46.5,502
1998-03-03,47.5,47.5,47.5,47.5,2173
1998-03-04,47,47,47,47,1456
1998-03-05,45,45,45,45,4952
1998-03-06,45.5,45.5,45.5,45.5,231
1998-03-09,46.5,46.5,46.5,46.5,360
1998-03-10,47.5,47.5,47.5,47.5,3315
1998-03-11,47.5,47.5,47.5,47.5,2589
1998-03-12,47,47,47,47,7931
1998-03-13,49,49,49,49,6006
1998-03-16,52,52,52,52,5475
1998-03-17,57,57,57,57,26001
1998-03-18,59,59,59,59,31951
1998-03-19,59,59,59,59,7314
1998-03-20,57,57,57,57,2882
1998-03-23,55.5,55.5,55.5,55.5,10201
1998-03-24,54.5,54.5,54.5,54.5,7756
1998-03-25,55.5,55.5,55.5,55.5,9357
1998-03-26,55.5,55.5,55.5,55.5,3671
1998-03-27,53.5,53.5,53.5,53.5,4925
1998-03-30,53,53,53,53,2861
1998-03-31,53,53,53,53,4203
1998-04-01,52.5,52.5,52.5,52.5,3053
1998-04-02,50.5,50.5,50.5,50.5,1758
1998-04-06,52.5,52.5,52.5,52.5,4761
1998-04-07,53.5,53.5,53.5,53.5,5924
1998-04-08,53.5,53.5,53.5,53.5,4224
1998-04-09,52.5,52.5,52.5,52.5,1481
1998-04-14,54,54,54,54,2097
1998-04-15,54,54,54,54,1309
1998-04-16,53.5,53.5,53.5,53.5,1408
1998-04-17,52,52,52,52,4161
1998-04-20,50.5,50.5,50.5,50.5,3752
1998-04-21,49,49,49,49,4225
1998-04-22,49,49,49,49,1558
1998-04-23,48.5,48.5,48.5,48.5,3063
1998-04-24,48,48,48,48,4400
1998-04-27,48,48,48,48,1719
1998-04-28,46.5,46.5,46.5,46.5,3106
1998-04-29,45,45,45,45,4947
1998-04-30,45,45,45,45,11849
1998-05-04,46,46,46,46,6740
