Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1995-05-25,4.1056,4.1056,4.1056,4.1056,773322
1995-05-26,4.1056,4.1056,4.1056,4.1056,605629
1995-05-29,4.1921,4.1921,4.1921,4.1921,494736
1995-05-30,3.7817,3.7817,3.7817,3.7817,377757
1995-05-31,3.8249,3.8249,3.8249,3.8249,236748
1995-06-01,3.5007,3.5007,3.5007,3.5007,95126
1995-06-02,3.5438,3.5438,3.5438,3.5438,148710
1995-06-05,3.7599,3.7599,3.7599,3.7599,73271
1995-06-06,3.7599,3.7599,3.7599,3.7599,176332
1995-06-07,3.8249,3.8249,3.8249,3.8249,185371
1995-06-08,3.8249,3.8249,3.8249,3.8249,150468
1995-06-09,3.8032,3.8032,3.8032,3.8032,102414
1995-06-12,3.6952,3.6952,3.6952,3.6952,96748
1995-06-13,3.7166,3.7166,3.7166,3.7166,90132
1995-06-14,3.8032,3.8032,3.8032,3.8032,62711
1995-06-16,3.7166,3.7166,3.7166,3.7166,62555
1995-06-19,3.5871,3.5871,3.5871,3.5871,44466
1995-06-20,3.6737,3.6737,3.6737,3.6737,67919
1995-06-21,3.6737,3.6737,3.6737,3.6737,81665
1995-06-22,3.6737,3.6737,3.6737,3.6737,111613
1995-06-23,3.7166,3.7166,3.7166,3.7166,55963
1995-06-26,3.8896,3.8896,3.8896,3.8896,255941
1995-06-27,4.0192,4.0192,4.0192,4.0192,256892
1995-06-28,3.8896,3.8896,3.8896,3.8896,121607
1995-06-29,3.976,3.976,3.976,3.976,207620
1995-06-30,3.9977,3.9977,3.9977,3.9977,126700
1995-07-03,4.1056,4.1056,4.1056,4.1056,282293
1995-07-04,4.0624,4.0624,4.0624,4.0624,220558
1995-07-05,4.0192,4.0192,4.0192,4.0192,104126
1995-07-06,4.0407,4.0407,4.0407,4.0407,83399
1995-07-07,3.9977,3.9977,3.9977,3.9977,65415
1995-07-10,3.9977,3.9977,3.9977,3.9977,31644
1995-07-11,3.976,3.976,3.976,3.976,82999
1995-07-12,3.9328,3.9328,3.9328,3.9328,63315
1995-07-13,4.0192,4.0192,4.0192,4.0192,151766
1995-07-14,4.0624,4.0624,4.0624,4.0624,58831
1995-07-17,4.149,4.149,4.149,4.149,379983
1995-07-18,4.4083,4.4083,4.4083,4.4083,541493
1995-07-19,4.8404,4.8404,4.8404,4.8404
1995-07-20,5.3157,5.3157,5.3157,5.3157,735455
1995-07-21,5.5752,5.5752,5.5752,5.5752,777839
1995-07-24,5.6183,5.6183,5.6183,5.6183,769096
1995-07-25,6.1802,6.1802,6.1802,6.1802,494729
1995-07-26,6.7852,6.7852,6.7852,6.7852,897031
1995-07-27,7.3466,7.3466,7.3466,7.3466,627401
1995-07-28,6.958,6.958,6.958,6.958,440714
1995-07-31,6.2665,6.2665,6.2665,6.2665,439558
1995-08-01,6.2665,6.2665,6.2665,6.2665,317480
1995-08-02,6.2665,6.2665,6.2665,6.2665,325698
1995-08-03,6.1368,6.1368,6.1368,6.1368,390264
1995-08-04,6.2665,6.2665,6.2665,6.2665,240086
1995-08-07,6.3099,6.3099,6.3099,6.3099,244622
1995-08-08,6.1802,6.1802,6.1802,6.1802,172485
1995-08-09,6.0937,6.0937,6.0937,6.0937,167141
1995-08-10,6.3963,6.3963,6.3963,6.3963,252727
1995-08-11,6.7852,6.7852,6.7852,6.7852,344945
1995-08-16,6.9149,6.9149,6.9149,6.9149,374339
1995-08-17,6.9149,6.9149,6.9149,6.9149,361903
1995-08-18,6.6553,6.6553,6.6553,6.6553,262342
1995-08-22,7.1311,7.1311,7.1311,7.1311,582675
1995-08-23,7.1747,7.1747,7.1747,7.1747,375377
1995-08-24,7.3903,7.3903,7.3903,7.3903,397283
1995-08-25,8.1247,8.1247,8.1247,8.1247,447021
1995-08-28,8.5139,8.5139,8.5139,8.5139,464361
1995-08-29,8.4276,8.4276,8.4276,8.4276,441891
1995-08-30,8.211,8.211,8.211,8.211,432510
1995-08-31,8.1679,8.1679,8.1679,8.1679,405782
1995-09-01,8.9455,8.9455,8.9455,8.9455
1995-09-04,9.81,9.81,9.81,9.81,269156
1995-09-05,10.761,10.761,10.761,10.761,992737
1995-09-06,10.37,10.37,10.37,10.37,581311
1995-09-07,11.022,11.022,11.022,11.022,375940
1995-09-08,11.712,11.712,11.712,11.712,681568
1995-09-11,12.187,12.187,12.187,12.187,518899
1995-09-12,11.41,11.41,11.41,11.41,265086
1995-09-13,11.193,11.193,11.193,11.193,387996
1995-09-14,11.279,11.279,11.279,11.279,408297
1995-09-15,10.718,10.718,10.718,10.718,247436
1995-09-18,10.2,10.2,10.2,10.2,383508
1995-09-19,9.2051,9.2051,9.2051,9.2051,286029
1995-09-20,9.682,9.682,9.682,9.682,347701
1995-09-21,9.682,9.682,9.682,9.682,420368
1995-09-22,9.379,9.379,9.379,9.379,206915
1995-09-25,9.379,9.379,9.379,9.379,163835
1995-09-26,9.939,9.939,9.939,9.939,198644
1995-09-27,10.416,10.416,10.416,10.416,260624
1995-09-28,10.37,10.37,10.37,10.37,427341
1995-09-29,10.416,10.416,10.416,10.416,296195
1995-10-02,10.805,10.805,10.805,10.805,302377
1995-10-03,10.761,10.761,10.761,10.761,291647
1995-10-04,9.984,9.984,9.984,9.984,260838
1995-10-05,9.984,9.984,9.984,9.984,240906
1995-10-06,9.81,9.81,9.81,9.81,223590
1995-10-09,8.8592,8.8592,8.8592,8.8592,333931
1995-10-10,8.4707,8.4707,8.4707,8.4707,249568
1995-10-11,8.3404,8.3404,8.3404,8.3404,227730
1995-10-12,8.211,8.211,8.211,8.211,247829
1995-10-13,7.9955,7.9955,7.9955,7.9955,193053
1995-10-16,8.1679,8.1679,8.1679,8.1679,159029
1995-10-17,8.3404,8.3404,8.3404,8.3404,257944
1995-10-18,8.3404,8.3404,8.3404,8.3404,259325
1995-10-19,7.5202,7.5202,7.5202,7.5202,231388
1995-10-20,7.0014,7.0014,7.0014,7.0014,251383
1995-10-23,7.2176,7.2176,7.2176,7.2176,179292
1995-10-24,7.1747,7.1747,7.1747,7.1747,102871
1995-10-25,7.563,7.563,7.563,7.563,78805
