Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1996-07-24,7.5039,7.5039,7.5039,7.5039,48506
1996-07-25,8.2528,8.2528,8.2528,8.2528,150579
1996-07-26,9.0739,9.0739,9.0739,9.0739,379464
1996-07-29,9.548,9.548,9.548,9.548,200401
1996-07-30,8.8724,8.8724,8.8724,8.8724,82650
1996-07-31,8.7353,8.7353,8.7353,8.7353,144006
1996-08-01,8.1881,8.1881,8.1881,8.1881,137485
1996-08-02,8.0512,8.0512,8.0512,8.0512,75652
1996-08-05,8.2528,8.2528,8.2528,8.2528,49969
1996-08-06,8.4616,8.4616,8.4616,8.4616,51363
1996-08-07,8.3248,8.3248,8.3248,8.3248,98883
1996-08-08,8.1881,8.1881,8.1881,8.1881,35851
1996-08-09,8.2528,8.2528,8.2528,8.2528,58994
1996-08-12,8.2528,8.2528,8.2528,8.2528,13263
1996-08-13,7.9144,7.9144,7.9144,7.9144,33736
1996-08-14,8.1159,8.1159,8.1159,8.1159,37262
1996-08-16,7.8422,7.8422,7.8422,7.8422,23963
1996-08-19,8.1881,8.1881,8.1881,8.1881,59184
1996-08-20,8.0512,8.0512,8.0512,8.0512,83106
1996-08-21,7.9792,7.9792,7.9792,7.9792,78864
1996-08-22,8.1881,8.1881,8.1881,8.1881,130155
1996-08-23,8.1881,8.1881,8.1881,8.1881,219689
1996-08-26,8.2528,8.2528,8.2528,8.2528,123263
1996-08-27,8.1159,8.1159,8.1159,8.1159,62514
1996-08-28,8.1881,8.1881,8.1881,8.1881,40611
1996-08-29,7.9792,7.9792,7.9792,7.9792,33698
1996-08-30,8.1159,8.1159,8.1159,8.1159,44900
1996-09-02,8.0512,8.0512,8.0512,8.0512,52485
1996-09-03,7.9144,7.9144,7.9144,7.9144,57558
1996-09-04,7.7775,7.7775,7.7775,7.7775,70590
1996-09-05,7.7055,7.7055,7.7055,7.7055,60965
1996-09-06,7.7775,7.7775,7.7775,7.7775,43459
1996-09-09,8.0512,8.0512,8.0512,8.0512,58136
1996-09-10,8.1159,8.1159,8.1159,8.1159,98604
1996-09-11,8.1159,8.1159,8.1159,8.1159,97680
1996-09-12,8.1159,8.1159,8.1159,8.1159,213407
1996-09-13,8.5265,8.5265,8.5265,8.5265,140309
1996-09-16,9.3475,9.3475,9.3475,9.3475,190560
1996-09-17,9.3475,9.3475,9.3475,9.3475,197887
1996-09-18,9.2107,9.2107,9.2107,9.2107,133119
1996-09-19,9.4836,9.4836,9.4836,9.4836,204476
1996-09-20,9.4836,9.4836,9.4836,9.4836,140203
1996-09-23,9.822,9.822,9.822,9.822,182008
1996-09-24,10.097,10.097,10.097,10.097,165300
1996-09-25,9.896,9.896,9.896,9.896,357966
1996-09-26,10.168,10.168,10.168,10.168,115348
1996-09-27,10.918,10.918,10.918,10.918,282816
1996-09-30,10.918,10.918,10.918,10.918,184331
1996-10-01,11.256,11.256,11.256,11.256,219388
1996-10-02,11.256,11.256,11.256,11.256,124193
1996-10-03,11.055,11.055,11.055,11.055,97359
1996-10-04,10.918,10.918,10.918,10.918,68483
1996-10-07,11.055,11.055,11.055,11.055,189789
1996-10-08,11.055,11.055,11.055,11.055,329313
1996-10-09,10.845,10.845,10.845,10.845,121369
1996-10-10,10.572,10.572,10.572,10.572,65771
1996-10-11,10.299,10.299,10.299,10.299,139449
1996-10-14,10.507,10.507,10.507,10.507,118979
1996-10-15,10.845,10.845,10.845,10.845,141790
1996-10-16,10.572,10.572,10.572,10.572,127243
1996-10-17,10.572,10.572,10.572,10.572,59152
1996-10-18,10.572,10.572,10.572,10.572,55702
1996-10-21,10.434,10.434,10.434,10.434,81674
1996-10-22,10.233,10.233,10.233,10.233,127672
1996-10-23,10.031,10.031,10.031,10.031,102957
1996-10-24,9.822,9.822,9.822,9.822,106986
1996-10-25,9.548,9.548,9.548,9.548,86378
1996-10-28,9.2107,9.2107,9.2107,9.2107,124540
1996-10-29,8.9369,8.9369,8.9369,8.9369,90971
1996-10-30,9.2753,9.2753,9.2753,9.2753,124972
1996-10-31,9.2753,9.2753,9.2753,9.2753,116943
1996-11-04,9.2107,9.2107,9.2107,9.2107,72910
1996-11-05,9.0739,9.0739,9.0739,9.0739,50695
1996-11-06,9.3475,9.3475,9.3475,9.3475,82384
