Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-11-14,1.3352,1.3352,1.3352,1.3352,119
2008-11-17,1.0838,1.0838,1.0838,1.0838,119
2008-11-18,1.0058,1.0058,1.0058,1.0058,119
2008-11-19,0.8497,0.8497,0.7544,0.7544,239
2008-11-20,0.8497,0.8497,0.8497,0.8497,2391
2008-11-21,0.9624,0.9624,0.8324,0.841,1673
2008-11-24,0.841,0.841,0.841,0.841,2330
2008-11-25,0.8497,0.8497,0.8497,0.8497,1195
2008-11-26,0.8497,0.8497,0.8497,0.8497,2211
2008-11-27,0.8497,0.8497,0.8497,0.8497,2391
2008-11-28,0.8497,0.8497,0.8497,0.8497,3586
2008-12-08,0.9191,0.9624,0.9191,0.9624,1973
2008-12-09,0.8497,0.8497,0.8497,0.8497,1195
2008-12-10,0.841,0.9624,0.841,0.9624,1673
2008-12-11,0.9624,1.0058,0.9624,1.0058,71729
2008-12-15,0.9971,1.0144,0.9971,1.0144,71729
2008-12-16,1.0058,1.0058,1.0058,1.0058,47819
2008-12-23,0.9884,0.9884,0.9884,0.9884,1195
2009-01-09,0.9191,0.9191,0.9191,0.9191,1721
2009-01-12,1.0058,1.0058,1.0058,1.0058,12445
2009-01-14,1.0058,1.0058,1.0058,1.0058,21027
2009-01-15,1.0058,1.0058,1.0058,1.0058,11955
2009-01-16,0.9191,0.9191,0.9191,0.9191,1195
2009-03-05,1.0058,1.0058,1.0058,1.0058,1195
2009-03-06,1.0058,1.0058,1.0058,1.0058,1195
2009-03-10,1.0058,1.0058,1.0058,1.0058,1195
2009-03-25,1.0492,1.0492,1.0492,1.0492,119
2009-06-01,1.0492,1.0492,1.0492,1.0492,23790
2009-06-02,1.0838,1.0838,1.0838,1.0838,1195
2009-06-23,1.1705,1.1705,1.1705,1.1705,119
2009-08-12,1.1879,1.1879,1.1879,1.1879,11784
2009-08-17,1.2746,1.3613,1.2746,1.3613,1177
2009-08-21,1.1879,1.1879,1.1879,1.1879,5891
2009-08-24,1.3613,1.3613,1.3613,1.3613,1177
2009-08-25,1.6995,1.6995,1.1879,1.6995,1343
2009-08-26,1.3613,1.6561,1.3613,1.3613,1072
2009-08-27,1.2746,1.2746,1.2746,1.2746,235
2009-08-31,1.2312,1.2312,1.2312,1.2312,1566
2009-09-03,1.1965,1.1965,1.1965,1.1965,1059
2009-10-02,1.1965,1.1965,1.1965,1.1965,42421
2009-10-05,1.2312,1.2312,1.2312,1.2312,588
