Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1995-10-27,11.74,11.74,11.74,11.74,161380
1995-10-30,11.11,11.11,11.11,11.11,48290
1995-10-31,10.62,10.62,10.62,10.62,42276
1995-11-02,11.06,11.06,11.06,11.06,30666
1995-11-03,12.23,12.23,12.23,12.23,105177
1995-11-06,13.06,13.06,13.06,13.06,50203
1995-11-07,12.87,12.87,12.87,12.87,98331
1995-11-08,13.55,13.55,13.55,13.55,56910
1995-11-09,13.36,13.36,13.36,13.36,32559
1995-11-10,12.97,12.97,12.97,12.97,58169
1995-11-13,12.77,12.77,12.77,12.77,24084
1995-11-14,13.16,13.16,13.16,13.16,62051
1995-11-15,13.21,13.21,13.21,13.21,23959
1995-11-16,13.21,13.21,13.21,13.21,27175
1995-11-17,13.21,13.21,13.21,13.21,85235
1995-11-20,11.89,11.89,11.89,11.89,69536
1995-11-21,12.28,12.28,12.28,12.28,31441
1995-11-22,12.72,12.72,12.72,12.72,31130
1995-11-23,13.01,13.01,13.01,13.01,27699
1995-11-24,12.92,12.92,12.92,12.92,22917
1995-11-27,12.92,12.92,12.92,12.92,21988
1995-11-28,12.77,12.77,12.77,12.77,10692
1995-11-29,12.77,12.77,12.77,12.77,13513
1995-11-30,12.77,12.77,12.77,12.77,11202
1995-12-01,12.72,12.72,12.72,12.72,23778
1995-12-04,12.82,12.82,12.82,12.82,15562
1995-12-05,13.16,13.16,13.16,13.16,44572
1995-12-06,12.97,12.97,12.97,12.97,13919
1995-12-07,13.06,13.06,13.06,13.06,11749
1995-12-08,12.92,12.92,12.92,12.92,9909
1995-12-11,13.31,13.31,13.31,13.31,12211
1995-12-12,13.46,13.46,13.46,13.46,27193
1995-12-13,13.46,13.46,13.46,13.46,37245
1995-12-14,13.7,13.7,13.7,13.7,38724
1995-12-15,14.63,14.63,14.63,14.63,39673
1995-12-18,14.43,14.43,14.43,14.43,19991
1995-12-19,13.85,13.85,13.85,13.85,28318
1995-12-20,12.48,12.48,12.48,12.48,43893
1995-12-21,12.87,12.87,12.87,12.87,28527
1995-12-22,13.21,13.21,13.21,13.21,29937
1995-12-27,13.75,13.75,13.75,13.75,42998
1995-12-28,13.65,13.65,13.65,13.65,15023
1995-12-29,13.65,13.65,13.65,13.65,17147
1996-01-02,14.04,14.04,14.04,14.04,5661
1996-01-03,14.19,14.19,14.19,14.19,34147
1996-01-04,14.53,14.53,14.53,14.53,24768
1996-01-05,15.27,15.27,15.27,15.27,26792
1996-01-08,15.07,15.07,15.07,15.07,29398
1996-01-09,15.2,15.2,15.2,15.2,26448
1996-01-10,15.02,15.02,15.02,15.02,26291
1996-01-11,14.92,14.92,14.92,14.92,47118
1996-01-12,14.63,14.63,14.63,14.63,46779
1996-01-15,14.53,14.53,14.53,14.53,26556
1996-01-16,14.53,14.53,14.53,14.53,13863
1996-01-17,14.53,14.53,14.53,14.53,62231
1996-01-18,14.34,14.34,14.34,14.34,79890
1996-01-19,14.04,14.04,14.04,14.04,30486
1996-01-22,14.73,14.73,14.73,14.73,35349
1996-01-23,15.02,15.02,15.02,15.02,23572
1996-01-24,15.36,15.36,15.36,15.36,28543
1996-01-25,16.15,16.15,16.15,16.15,44469
1996-01-26,15.95,15.95,15.95,15.95,43353
1996-01-29,16.1,16.1,16.1,16.1,51179
1996-01-30,16.1,16.1,16.1,16.1,55209
1996-01-31,17.27,17.27,17.27,17.27,36512
1996-02-01,16.64,16.64,16.64,16.64,22181
1996-02-02,17.27,17.27,17.27,17.27,49338
1996-02-05,17.27,17.27,17.27,17.27,35877
1996-02-06,17.61,17.61,17.61,17.61,50870
1996-02-07,17.61,17.61,17.61,17.61,25265
1996-02-08,18.25,18.25,18.25,18.25,30663
1996-02-09,19.23,19.23,19.23,19.23,17790
1996-02-12,21.04,21.04,21.04,21.04,90857
1996-02-13,20.84,20.84,20.84,20.84,44038
1996-02-14,20.55,20.55,20.55,20.55,42359
1996-02-15,20.26,20.26,20.26,20.26,33475
1996-02-16,19.86,19.86,19.86,19.86,11701
1996-02-19,20.06,20.06,20.06,20.06,21684
1996-02-20,19.57,19.57,19.57,19.57,58072
1996-02-21,21.23,21.23,21.23,21.23,86053
1996-02-22,21.53,21.53,21.53,21.53,22806
1996-02-23,21.23,21.23,21.23,21.23,7394
1996-02-26,22.02,22.02,22.02,22.02,9289
1996-02-27,22.7,22.7,22.7,22.7,8987
1996-02-28,24.76,24.76,24.76,24.76
1996-02-29,27.2,27.2,27.2,27.2,149630
1996-03-01,27.4,27.4,27.4,27.4,60056
1996-03-04,24.76,24.76,24.76,24.76,68316
1996-03-05,26.42,26.42,26.42,26.42,66236
1996-03-06,25.64,25.64,25.64,25.64,14338
1996-03-07,25.64,25.64,25.64,25.64,13966
1996-03-08,25.64,25.64,25.64,25.64,15017
1996-03-11,24.76,24.76,24.76,24.76,10096
1996-03-12,24.76,24.76,24.76,24.76,15669
1996-03-13,25.15,25.15,25.15,25.15,15727
1996-03-14,25.25,25.25,25.25,25.25,12575
1996-03-15,25.44,25.44,25.44,25.44,116223
1996-03-18,27.89,27.89,27.89,27.89,39426
1996-03-19,29.06,29.06,29.06,29.06,12888
1996-03-20,28.38,28.38,28.38,28.38,10096
1996-03-21,28.18,28.18,28.18,28.18,2661
1996-03-22,28.08,28.08,28.08,28.08,16293
1996-03-25,27.11,27.11,27.11,27.11,4795
1996-03-26,27.4,27.4,27.4,27.4,11680
1996-03-27,27.69,27.69,27.69,27.69,5198
1996-03-28,27.4,27.4,27.4,27.4,5966
1996-03-29,27.69,27.69,27.69,27.69,5723
1996-04-01,27.69,27.69,27.69,27.69,4766
1996-04-02,27.69,27.69,27.69,27.69,12005
1996-04-03,27.59,27.59,27.59,27.59,2248
1996-04-04,27.4,27.4,27.4,27.4,840
1996-04-05,27.89,27.89,27.89,27.89,1361
1996-04-09,28.08,28.08,28.08,28.08,1283
1996-04-10,28.38,28.38,28.38,28.38,1057
1996-04-11,28.18,28.18,28.18,28.18,1845
1996-04-12,28.38,28.38,28.38,28.38,1180
1996-04-15,28.67,28.67,28.67,28.67,1326
1996-04-16,30.34,30.34,30.34,30.34,3314
1996-04-17,32.59,32.59,32.59,32.59,16479
1996-04-18,29.36,29.36,29.36,29.36,15108
1996-04-19,32.1,32.1,32.1,32.1,25390
1996-04-22,35.23,35.23,35.23,35.23,19431
1996-04-23,35.91,35.91,35.91,35.91,13254
1996-04-24,35.52,35.52,35.52,35.52,10429
1996-04-25,34.54,34.54,34.54,34.54,11550
1996-04-26,33.07,33.07,33.07,33.07,7512
1996-04-29,35.91,35.91,35.91,35.91,7214
1996-04-30,39.44,39.44,39.44,39.44,19650
1996-05-06,40.32,40.32,40.32,40.32,6177
1996-05-07,44.23,44.23,44.23,44.23,21131
1996-05-08,44.03,44.03,44.03,44.03,7370
1996-05-09,46.29,46.29,46.29,46.29,8586
1996-05-10,44.72,44.72,44.72,44.72,8587
1996-05-13,47.26,47.26,47.26,47.26,9034
1996-05-14,46.68,46.68,46.68,46.68,9629
1996-05-15,47.26,47.26,47.26,47.26,20151
1996-05-16,47.26,47.26,47.26,47.26,15805
1996-05-17,47.26,47.26,47.26,47.26,12789
1996-05-20,47.26,47.26,47.26,47.26,11265
1996-05-21,47.26,47.26,47.26,47.26,14038
1996-05-22,47.26,47.26,47.26,47.26,13350
1996-05-23,42.57,42.57,42.57,42.57,4087
1996-05-24,43.06,43.06,43.06,43.06,13192
1996-05-27,44.03,44.03,44.03,44.03,7244
1996-05-28,44.03,44.03,44.03,44.03,11331
1996-05-29,44.23,44.23,44.23,44.23,928
1996-05-30,44.03,44.03,44.03,44.03,2578
1996-05-31,44.72,44.72,44.72,44.72,8823
1996-06-03,44.72,44.72,44.72,44.72,9572
1996-06-04,48.93,48.93,48.93,48.93,9096
1996-06-05,48.93,48.93,48.93,48.93,21684
1996-06-07,51.57,51.57,51.57,51.57,9106
1996-06-10,56.56,56.56,56.56,56.56,18094
1996-06-11,59.69,59.69,59.69,59.69,72650
1996-06-12,60.38,60.38,60.38,60.38,29460
1996-06-13,60.38,60.38,60.38,60.38,10710
1996-06-14,59.01,59.01,59.01,59.01,3194
1996-06-17,58.71,58.71,58.71,58.71,4081
1996-06-18,55.48,55.48,55.48,55.48,3830
