Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-12-29,14.172,15.172,14.172,14.954,220080
2003-12-30,15.172,16.234,15.172,16.234,226788
2003-12-31,16.46,16.959,15.735,15.844,269480
2004-01-02,15.62,15.902,15.062,15.902,111960
2004-01-05,15.62,15.735,15.062,15.62,159744
2004-01-06,15.345,15.953,15.229,15.62,134742
2004-01-07,15.62,15.953,15.563,15.676,77113
2004-01-08,15.676,15.844,15.396,15.396,119519
2004-01-09,15.286,15.345,14.954,15.172,132639
2004-01-12,15.062,15.229,14.954,15.062,58575
2004-01-13,15.12,15.286,15.062,15.062,56761
2004-01-14,15.12,15.12,14.895,14.895,39329
2004-01-15,14.787,14.787,14.448,14.671,64425
2004-01-16,14.563,14.563,14.338,14.338,78968
2004-01-19,14.172,14.563,14.172,14.448,37032
2004-01-20,14.397,14.895,14.397,14.895,39256
2004-01-21,14.954,15.005,14.787,14.839,19106
2004-01-22,14.954,15.062,14.839,15.062,35425
2004-01-23,15.062,15.286,14.954,15.12,64295
2004-01-26,15.062,15.454,14.895,15.396,111135
2004-01-27,15.396,15.396,15.229,15.345,42231
2004-01-28,15.286,15.286,14.839,15.005,81886
2004-01-29,14.787,14.954,14.671,14.895,56416
2004-01-30,15.005,15.062,14.839,15.005,12069
2004-02-02,14.895,15.396,14.895,15.345,59550
2004-02-03,15.12,15.396,15.062,15.062,16096
2004-02-04,15.062,15.229,15.005,15.172,16810
2004-02-05,15.12,15.229,15.062,15.229,17918
2004-02-06,15.345,15.735,15.286,15.62,170487
2004-02-09,15.676,15.902,15.676,15.844,87073
2004-02-10,16.01,16.01,15.62,15.735,67149
2004-02-11,15.676,15.787,15.511,15.676,23910
2004-02-12,15.62,15.735,15.563,15.735,17610
2004-02-13,15.676,15.735,15.563,15.563,23700
2004-02-16,15.62,15.676,15.454,15.676,20887
2004-02-17,15.735,15.787,15.62,15.787,48469
2004-02-18,15.787,15.844,15.511,15.735,26352
2004-02-19,15.62,15.735,15.511,15.62,22757
2004-02-20,15.511,15.62,15.396,15.62,9214
2004-02-23,15.62,15.676,15.454,15.62,24768
2004-02-24,15.62,15.62,15.345,15.396,17061
2004-02-25,15.345,15.454,15.172,15.229,11956
2004-02-26,15.229,15.563,15.229,15.511,12705
2004-02-27,15.563,15.676,15.396,15.676,60223
2004-03-01,15.62,15.953,15.563,15.902,87096
2004-03-02,15.902,16.01,15.735,15.787,24518
2004-03-03,15.902,16.068,15.676,15.953,28072
2004-03-04,15.953,16.01,15.902,15.953,26898
2004-03-05,15.953,15.953,15.735,15.844,41126
2004-03-08,15.844,15.844,15.345,15.676,63259
2004-03-09,15.735,15.902,15.735,15.787,56726
2004-03-10,15.787,16.01,15.787,15.902,24348
2004-03-11,15.787,15.844,15.511,15.676,54432
2004-03-12,15.62,15.902,15.62,15.902,72790
2004-03-15,15.902,15.953,15.676,15.676,30319
2004-03-16,15.563,15.787,15.563,15.62,20062
2004-03-17,15.902,16.46,15.676,16.46,78439
2004-03-18,16.734,17.464,16.567,16.682,231951
2004-03-19,16.79,16.849,15.787,16.175,72686
2004-03-22,15.953,16.401,15.902,16.292,33110
2004-03-23,16.292,16.624,16.292,16.567,17510
2004-03-24,16.734,17.016,16.46,16.849,40947
2004-03-25,17.016,17.016,16.567,16.79,8319
2004-03-26,16.734,17.182,16.734,16.907,31832
2004-03-29,16.959,17.464,16.959,17.464,41153
2004-03-30,17.573,17.797,17.349,17.739,47782
2004-03-31,17.739,17.739,17.24,17.573,64152
2004-04-01,17.297,17.739,17.297,17.682,13956
2004-04-02,17.797,18.245,17.629,18.021,49306
2004-04-05,18.131,18.412,17.964,18.412,27474
2004-04-06,18.412,19.417,18.296,19.026,112320
2004-04-07,19.135,19.135,18.853,19.026,58971
2004-04-08,19.026,19.526,18.969,19.468,35952
2004-04-13,19.806,20.084,19.526,19.584,51164
2004-04-14,19.301,19.301,19.079,19.079,20589
2004-04-15,19.079,19.806,19.079,19.526,24381
2004-04-16,19.584,19.584,19.135,19.301,9816
2004-04-19,19.135,19.417,19.079,19.135,16718
2004-04-20,19.468,19.468,19.026,19.193,21214
2004-04-21,19.026,19.245,19.026,19.079,26452
2004-04-22,19.026,19.135,18.911,18.911,62180
