Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-03-11,29.458,29.458,29.458,29.458,99387
1998-03-12,28.055,28.055,28.055,28.055,67385
1998-03-13,29.808,29.808,29.808,29.808,65978
1998-03-16,30.861,30.861,30.861,30.861,62940
1998-03-17,32.404,32.404,32.404,32.404,46661
1998-03-18,33.666,33.666,33.666,33.666,55618
1998-03-19,33.526,33.526,33.526,33.526,45058
1998-03-20,32.265,32.265,32.265,32.265,45401
1998-03-23,30.861,30.861,30.861,30.861,16197
1998-03-24,29.808,29.808,29.808,29.808,27743
1998-03-25,29.878,29.878,29.878,29.878,22146
1998-03-26,30.299,30.299,30.299,30.299,40854
1998-03-27,30.019,30.019,30.019,30.019,21438
1998-03-30,30.16,30.16,30.16,30.16,41081
1998-03-31,30.019,30.019,30.019,30.019,33419
1998-04-01,30.019,30.019,30.019,30.019,36177
1998-04-02,30.16,30.16,30.16,30.16,19065
1998-04-06,30.019,30.019,30.019,30.019,8258
1998-04-07,30.228,30.228,30.228,30.228,18633
1998-04-08,30.299,30.299,30.299,30.299,25079
1998-04-09,30.16,30.16,30.16,30.16,35647
1998-04-14,30.16,30.16,30.16,30.16,6717
1998-04-15,29.948,29.948,29.948,29.948,6904
1998-04-16,29.458,29.458,29.458,29.458,7106
1998-04-17,28.757,28.757,28.757,28.757,5935
1998-04-20,28.757,28.757,28.757,28.757,9763
1998-04-21,27.635,27.635,27.635,27.635,11760
1998-04-22,27.355,27.355,27.355,27.355,14748
1998-04-23,26.301,26.301,26.301,26.301,9098
1998-04-24,27.704,27.704,27.704,27.704,14646
1998-04-27,27.004,27.004,27.004,27.004,8969
1998-04-28,25.952,25.952,25.952,25.952,10130
1998-04-29,27.212,27.212,27.212,27.212,12998
1998-04-30,27.635,27.635,27.635,27.635,17150
1998-05-04,30.37,30.37,30.37,30.37,60309
1998-05-05,32.265,32.265,32.265,32.265,110540
1998-05-06,35.42,35.42,35.42,35.42,143950
1998-05-07,36.471,36.471,36.471,36.471,196682
1998-05-08,33.806,33.806,33.806,33.806,14246
1998-05-11,31.561,31.561,31.561,31.561,18690
1998-05-12,29.108,29.108,29.108,29.108,11401
1998-05-13,29.668,29.668,29.668,29.668,7096
1998-05-14,29.317,29.317,29.317,29.317,8038
1998-05-15,28.545,28.545,28.545,28.545,2197
1998-05-18,28.617,28.617,28.617,28.617,4186
1998-05-19,27.914,27.914,27.914,27.914,9101
1998-05-20,27.914,27.914,27.914,27.914,3249
1998-05-21,28.757,28.757,28.757,28.757,3302
1998-05-22,28.757,28.757,28.757,28.757,2623
1998-05-25,27.143,27.143,27.143,27.143,3202
1998-05-26,26.723,26.723,26.723,26.723,2313
1998-05-27,25.952,25.952,25.952,25.952,5430
1998-05-28,24.548,24.548,24.548,24.548,4656
1998-05-29,25.88,25.88,25.88,25.88,19019
1998-06-01,25.25,25.25,25.25,25.25,2803
1998-06-02,24.618,24.618,24.618,24.618,11714
1998-06-03,25.25,25.25,25.25,25.25,2398
1998-06-04,26.442,26.442,26.442,26.442,6453
1998-06-05,26.582,26.582,26.582,26.582,2831
1998-06-08,29.178,29.178,29.178,29.178,8149
1998-06-09,26.652,26.652,26.652,26.652,1690
1998-06-10,25.952,25.952,25.952,25.952,1876
1998-06-15,28.055,28.055,28.055,28.055,5356
1998-06-16,26.021,26.021,26.021,26.021,1738
1998-06-17,28.055,28.055,28.055,28.055,3603
1998-06-18,27.985,27.985,27.985,27.985,3928
1998-06-19,25.6,25.6,25.6,25.6,6842
1998-06-22,25.32,25.32,25.32,25.32,22252
1998-06-23,25.952,25.952,25.952,25.952,9244
1998-06-24,25.952,25.952,25.952,25.952,10810
1998-06-25,26.652,26.652,26.652,26.652,2016
1998-06-26,26.652,26.652,26.652,26.652,5481
1998-06-29,29.248,29.248,29.248,29.248,28515
1998-06-30,29.458,29.458,29.458,29.458,16222
1998-07-01,27.355,27.355,27.355,27.355,1641
1998-07-02,28.405,28.405,28.405,28.405,6308
1998-07-03,28.195,28.195,28.195,28.195,3194
1998-07-06,27.424,27.424,27.424,27.424,1191
1998-07-07,27.424,27.424,27.424,27.424,2497
1998-07-08,27.355,27.355,27.355,27.355,3446
1998-07-09,27.004,27.004,27.004,27.004,8722
1998-07-10,26.932,26.932,26.932,26.932,4625
1998-07-13,26.652,26.652,26.652,26.652,1560
1998-07-14,27.635,27.635,27.635,27.635,4424
1998-07-15,26.652,26.652,26.652,26.652,788
1998-07-16,27.355,27.355,27.355,27.355,2102
1998-07-17,27.355,27.355,27.355,27.355,3673
1998-07-20,26.652,26.652,26.652,26.652,3921
1998-07-21,24.548,24.548,24.548,24.548,11092
1998-07-22,24.9,24.9,24.9,24.9,5810
1998-07-23,24.407,24.407,24.407,24.407,3845
1998-07-24,24.548,24.548,24.548,24.548,3123
1998-07-27,24.548,24.548,24.548,24.548,2434
1998-07-28,23.848,23.848,23.848,23.848,3020
1998-07-29,23.496,23.496,23.496,23.496,2246
1998-07-30,23.848,23.848,23.848,23.848,4787
1998-07-31,23.848,23.848,23.848,23.848,914
1998-08-03,22.444,22.444,22.444,22.444,1779
1998-08-04,21.744,21.744,21.744,21.744,3640
1998-08-05,21.744,21.744,21.744,21.744,1601
1998-08-06,22.094,22.094,22.094,22.094,1424
1998-08-07,21.744,21.744,21.744,21.744,594
1998-08-10,21.041,21.041,21.041,21.041,311
1998-08-11,18.937,18.937,18.937,18.937,914
1998-08-12,17.044,17.044,17.044,17.044,4936
1998-08-13,17.534,17.534,17.534,17.534,9626
1998-08-14,17.324,17.324,17.324,17.324,4778
1998-08-17,17.183,17.183,17.183,17.183,1957
1998-08-18,16.833,16.833,16.833,16.833,4673
1998-08-19,16.833,16.833,16.833,16.833,5556
1998-08-20,17.885,17.885,17.885,17.885,1821
1998-08-21,17.115,17.115,17.115,17.115,3644
1998-08-24,16.833,16.833,16.833,16.833,2238
1998-08-25,17.044,17.044,17.044,17.044,2487
1998-08-26,16.833,16.833,16.833,16.833,694
1998-08-27,16.131,16.131,16.131,16.131,1557
1998-08-28,14.518,14.518,14.518,14.518,4994
1998-08-31,13.116,13.116,13.116,13.116,795
1998-09-01,11.854,11.854,11.854,11.854,4990
